;Icon used from font-awesome 4 to label this contact section;The actual value written for the contact entry
loc;icon;contact
email;envelope;[Contact](https://www.vopspsy.ugent.be/mail/mailme.php?own=Joachim%20Waterschoot)
website;link;[watjoa.com](https://www.watjoa.com/)
application;link;[cavirstatistics.com](https://www.cavirstatistics.com/) (application)
github;github;[WatJoa](https://github.com/Watjoa)
linkedin;linkedin;[watjoa](https://www.linkedin.com/in/watjoa/)
twitter;twitter;[watjoa](https://twitter.com/watjoa)
researchgate;book;[ResearchGate](https://www.researchgate.net/profile/Joachim_Waterschoot)
